Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Галерея На Шаболовке,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://nashabolovke.vzmoscow.ru/,+7 (495) 954-30-09,Серпуховский Вал+++ д. 24+++ к. 2,55.71285,37.6100417
Галерея Нагорная,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://www.galereya-nagornaya.ru/,8 (499) 123-65-69,Ремизова ул.+++ д.10,55.6762472,37.6005028
Галерея Наши художники,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://www.kournikovagallery.ru/,8 (495) 637 28 10,Сеченовский пер.+++ д. 2,55.7407722,37.5968611
Галерея Пересветов переулок,Выставочные центры,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,http://peresvetovgallery.ru/,8 (495)  675-22-28,Пересветов пер.+++ д. 4 к. 1,37.6572222,55.7083333
Галерея русской ледовой скульптуры,Музеи,None,None,None,None,None,None,None,None,None,Ул. Мантулинская+++ д. 5 (на территории парка Красная Пресня),55.7558722,37.5528139
Галерея Шазина,Выставочные центры,None,None,None,None,None,None,None,http://www.shazina.com/,8 (495) 917-16-37,Покровский бул.+++ 14,55.7545472,37.6475083
"Галерея-мастерская ""Варшавка""",Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://www.gvz-varshavka.ru/,8 (499) 723-10-75+++ 8 (499) 613-39-35,Варшавское шоссе+++ д. 75+++ корп. 1,55.6586083,37.6204
Галерея-мастерская ГРАУНД Песчаная,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://vzmoscow.ru/,8 (499) 943-53-49,Новопесчаная ул.+++ д.23+++ корп. 7,55.7928778,37.5131389
Галерея-мастерская ГРАУНД Ходынка,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://vzmoscow.ru/,8 (499) 198-76-84,ул. Ирины Левченко+++ д.2,55.7885556,37.4920583
Галерея-мастерская Сколково,Музеи,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,None,8 (495) 446-29-64,Сколковское шоссе+++ д.32+++ корп.2,55.7071917,37.4010722
