Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Любашинский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ул. Замшина / пр. Металлистов",59.969677,30.405664,1
Румянцевский сад,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, между 1-й и 2-й линиями Васильевского острова",59.940952,30.253309,1
Парк Полежаевский,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ш. Петергофское / пр. Ветеранов",59.833,30.19180200000001,1
Пулковский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ш. Московское / ш. Пулковское",59.793391,30.324366,1
Парк строителей,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Искровский / ул. Подвойская",59.904802,30.467647,1
Сад Бенуа,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Науки / пр. Светлановский / пр. Тихорецкий",60.021177,30.36717100000001,1
Екатерининский парк,Сады и парки,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,None,+7 (812) 415-76-67,"СПб, г. Пушкин, ул. Садовая, д. 7 (ГМЗ Царское село)",59.720953,30.392683,0
Лопухинский сад,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Каменноостровский / ул. Академика Павлова",59.978075,30.312455,1
Орловский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пос. Стрельна, ул. Фронтовая / ш. Санкт-Петербургское",59.851462,30.05418,1
Матвеевский сад,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ул. Большая Пушкарская / ул. Кронверкская",59.95985400000001,30.311835,1
Пионерский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Пискаревский / ул. Бестужевская / пр. Мечникова",59.985701,30.409491,1
Парк Лесотехнической академии,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Большой Сампсониевский / ул. Новороссийская/ ул.Карбышева",59.99449499999999,30.35446,1
Сквер им. В.Ф. Маргелова,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Приморский, д. 81-87",59.983234,30.262472,1
Аллея Славы Пожарных,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ул. Прибрежная , д. 7",59.835749,30.50615800000001,1
Английский парк,Сады и парки,None,None,None,None,None,None,None,None,+7 (812) 450-52-87,"СПб, г. Петергоф, б-р Красных Курсантов / пр. Санкт-Петербургский (ГМЗ Петергоф)",59.87974200000001,29.911312,1
Петровский парк г. Кронштадта,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, г. Кронштадт, ул. Макаровская / пер. Арсенальный",59.98642099999999,29.771543,1
Малоохтинский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Новочеркасский / ул. Республиканская",59.93374,30.410766,1
Зеленогорский парк культуры и отдыха,Сады и парки,None,None,None,None,None,None,None,None,+7 (812) 433-31-05,"г. Зеленогорск, индекс 197720
Приморское ш., д.536",60.18895300000001,29.698752,1
Сад Фонтанного дома,Сады и парки,10.30-18.30,10.30-18.30,10.30-18.30,10.30-18.30,10.30-18.30,10.30-18.30,10.30-18.30,None,8(812) 579-72-39,"СПб, пр. Литейный, д. 53",59.93633199999999,30.347704,0
Сад Василеостровец,Сады и парки,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,None,None,"СПб, 24-я линия В.О.",59.93435699999999,30.258331,0
Городской сад г. Колпино,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, г. Колпино, пр.Ленина / б-р Победы",59.749058,30.597391,1
Воронихинский сквер,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ул. Казанская",59.929989,30.315248,1
Лесопарк Тарховка,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, г. Сестрорецк, ш. Приморское",60.090813,29.973862,1
Сад Олимпия,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Московский, д. 44",59.91248100000001,30.319758,1
Парк им. Есенина,Сады и парки,None,None,None,None,None,None,None,None,+7 (812) 950-03-32,"СПб, ул. Дыбенко, д. 28",59.909125,30.48715,1
Буферный парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, г. Пушкин, ш. Петербургское / б-р Детскосельский",59.741078,30.405619,1
Сад Академии художеств,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, наб. Университетская, д. 17",59.9374,30.28997,1
Нижний парк,Сады и парки,09.00-20.00,09.00-20.00,09.00-20.00,09.00-20.00,09.00-20.00,09.00-20.00,09.00-20.00,None,+7 (812) 450-52-87,"СПб, г. Петергоф, ул. Разводная, д. 2 (ГМЗ Петергоф)",59.88389100000001,29.905715,0
Сампсониевский сад,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ул. Гренадёрская / пр. Лесной",59.975797,30.345216,1
Нижний (Отельный) парк в г. Пушкине,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, ш. Московское, д. 3а",59.836586,30.3299,1
Колонистский парк,Сады и парки,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,None,None,"СПб, г. Петергоф, пр. Санкт-Петербургский (ГМЗ Петергоф)",59.87974200000001,29.911312,0
Парк Малиновка,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Косыгина, д. 7",59.942764,30.467441,1
Сад Венеры и Сад Бахуса,Сады и парки,09.00-19.00,09.00-19.00,09.00-19.00,09.00-19.00,09.00-19.00,09.00-19.00,09.00-19.00,None,None,"СПб, Петергоф, государственный музей-заповедник (ГМЗ Петергоф)",59.880396,29.90656,0
Сквер им. Андрея Петрова,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Каменоостровский, д. 26-28",59.962845,30.313901,1
Парк имени В.И. Ленина в г. Выборге,Сады и парки,None,None,None,None,None,None,None,None,None,"Ленобласть, г. Выборг, пр. Ленина / пр. Суворовский",60.70748,28.745981,1
